sample_id,condition_id,csv_row_id,source_pdf_path,npz_path,preview_path,extract_method,passed_quality,reason_codes,material_id,speed_rpm,temperature_c,r_bore_mm,r_outer_mm,z_width_mm,area_mm2,volume_mm3,min_thickness_mm,max_width_mm,sdf_zero_level_error_mm,semantic_hub_coverage,semantic_web_coverage,semantic_rim_coverage,mass_kg,polar_inertia_kg_mm2,sigma_vm_proxy_mpa,risk_score_proxy,dataset_version
F404_0415,C_Inco718_RPM11292_T650_OR257.09_BR68.0145,415,D:\sdfdata\F404HPT\data\raw\pdf\F404_0415.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0415.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0415.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,68.0145,257.09,84.144,8361.67747,7136550.816,15.13178837,100.5921228,0.245583815,0.525152139,0.376866162,0.0979817,58.44835119,1646810.922,50022.22283,10,sdf_meridian_v0.1
F404_0416,C_Inco718_RPM11292_T650_OR248.326_BR72.4475,416,D:\sdfdata\F404HPT\data\raw\pdf\F404_0416.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0416.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0416.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,72.4475,248.326,82.864,7518.55384,6480955.101,14.27959548,98.01647818,0.19290368,0.494705804,0.385828531,0.119465666,53.07902228,1451268.185,49455.13117,10,sdf_meridian_v0.1
F404_0417,C_Inco718_RPM11292_T650_OR246.058_BR70.8095,417,D:\sdfdata\F404HPT\data\raw\pdf\F404_0417.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0417.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0417.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,70.8095,246.058,87.952,7464.787115,6346904.671,14.22844571,97.66538136,0.195922615,0.520872358,0.371331728,0.107795915,51.98114925,1394644.807,48730.44698,10,sdf_meridian_v0.1
F404_0418,C_Inco718_RPM11292_T650_OR249.11_BR66.6495,418,D:\sdfdata\F404HPT\data\raw\pdf\F404_0418.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0418.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0418.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,66.6495,249.11,79.6,8091.825884,6803515.529,14.81398881,101.684604,0.208299923,0.536057265,0.387648942,0.076293793,55.72079219,1501265.181,47972.59238,10,sdf_meridian_v0.1
F404_0419,C_Inco718_RPM11292_T650_OR255.97_BR72.5905,419,D:\sdfdata\F404HPT\data\raw\pdf\F404_0419.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0419.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0419.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,72.5905,255.97,83.12,8173.543466,7194701.586,14.88860252,102.1967595,0.216157289,0.466797049,0.414347942,0.118855009,58.92460599,1690420.656,50397.27768,10,sdf_meridian_v0.1
F404_0420,C_Inco718_RPM11292_T650_OR247.654_BR67.5595,420,D:\sdfdata\F404HPT\data\raw\pdf\F404_0420.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0420.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0420.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,67.5595,247.654,82.672,7871.408968,6519240.874,14.79992866,100.5921325,0.191958844,0.541132884,0.382984422,0.075882694,53.39258276,1379834.39,47458.49354,10,sdf_meridian_v0.1
F404_0421,C_Inco718_RPM11292_T650_OR257.23_BR69.9125,421,D:\sdfdata\F404HPT\data\raw\pdf\F404_0421.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0421.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0421.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,69.9125,257.23,86.096,8528.359789,7441203.567,15.20832919,104.3913932,0.251463824,0.485834626,0.374772778,0.139392596,60.94345721,1743813.992,49824.69027,10,sdf_meridian_v0.1
F404_0422,C_Inco718_RPM11292_T650_OR251.518_BR71.6285,422,D:\sdfdata\F404HPT\data\raw\pdf\F404_0422.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0422.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0422.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,71.6285,251.518,83.952,7793.06906,6707875.287,15.69171819,100.5921123,0.179275502,0.505659526,0.399323563,0.095016911,54.9374986,1504850.681,46169.00537,10,sdf_meridian_v0.1
F404_0423,C_Inco718_RPM11292_T650_OR247.906_BR71.1605,423,D:\sdfdata\F404HPT\data\raw\pdf\F404_0423.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0423.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0423.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,71.1605,247.906,74.64,7780.729536,6605154.14,15.60683736,100.592087,0.194225042,0.527297766,0.392652481,0.080049753,54.09621241,1452471.871,45096.41807,10,sdf_meridian_v0.1
F404_0424,C_Inco718_RPM11292_T650_OR250.986_BR69.5225,424,D:\sdfdata\F404HPT\data\raw\pdf\F404_0424.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0424.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0424.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,69.5225,250.986,78.768,8078.40556,6884662.473,14.16284487,100.5922556,0.198184438,0.521849884,0.378540999,0.099609118,56.38538565,1552445.994,50936.76658,10,sdf_meridian_v0.1
